"ID","PID","Yig","Cig","Z","X0","time1","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","lambda8","lambda9","lambda10","delta","wt"
83,14,1,0.105964297269234,1,1,9.47865296113205,9.16430266739036,8.8142098935184,8.46984014452748,7.97741738836677,7.27487338707174,6.44461796365325,5.59579247753796,4.60676411992439,3.45128882313877,1.50021119720556,1,1
84,15,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
85,15,0,0.926672436659358,1,1,0.926672436659358,0.612322142917669,0.262229369045708,0,0,0,0,0,0,0,0,0,1
86,15,0,0.926672436659358,1,1,1.85334487331872,1.53899457957703,1.18890180570507,0.844532056714142,0.352109300553438,0,0,0,0,0,0,0,1
87,15,0,0.926672436659358,1,1,2.78001730997807,2.46566701623638,2.11557424236442,1.7712044933735,1.2787817372128,0.576237735917769,0,0,0,0,0,0,1
88,15,0,0.926672436659358,1,1,3.70668974663743,3.39233945289574,3.04224667902378,2.69787693003286,2.20545417387215,1.50291017257713,0.672654749158629,0,0,0,0,0,1
89,15,0,0.926672436659358,1,1,4.63336218329679,4.3190118895551,3.96891911568314,3.62454936669222,3.13212661053151,2.42958260923649,1.59932718581799,0.750501699702703,0,0,0,0,1
90,15,0,0.926672436659358,1,1,5.56003461995615,5.24568432621446,4.8955915523425,4.55122180335157,4.05879904719087,3.35625504589584,2.52599962247734,1.67717413636206,0.688145778748492,0,0,0,1
91,15,0,0.926672436659358,1,1,6.48670705661551,6.17235676287382,5.82226398900186,5.47789424001093,4.98547148385023,4.2829274825552,3.4526720591367,2.60384657302142,1.61481821540785,0.45934291862223,0,0,1
92,15,0,0.566008171450777,1,1,7.41337949327487,7.09902919953318,6.74893642566122,6.40456667667029,5.91214392050959,5.20959991921456,4.37934449579606,3.53051900968078,2.54149065206721,1.38601535528159,0,0,1
93,15,0,0.102671953121098,1,1,7.61872339951706,7.30437310577537,6.95428033190341,6.60991058291249,6.11748782675178,5.41494382545676,4.58468840203826,3.73586291592297,2.7468345583094,1.59135926152378,0,0,1
94,16,0,0.370558082358912,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
95,16,1,0.370558082358912,1,1,0.741116164717823,0.426765870976134,0.0766730971041728,0,0,0,0,0,0,0,0,1,1
96,17,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
97,17,0,0.926672436659358,1,1,0.926672436659358,0.612322142917669,0.262229369045708,0,0,0,0,0,0,0,0,0,1
