"ID","PID","Yig","Cig","Z","X0","time1","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","lambda8","lambda9","lambda10","delta","wt"
71,8,1,0.31141604782995,0,1,6.18286671561605,5.79335528409999,5.43067636158987,5.04111639160655,4.46965081308418,3.87287430359551,3.10652657856649,2.30000623202196,1.44729899096868,0.203566127778974,0,1,1.04544772027892
72,9,0,0.380645219702274,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6.61519353272164
73,9,1,0.380645219702274,0,1,0.761290439404547,0.371779007888489,0.00910008537837048,0,0,0,0,0,0,0,0,1,6.61519353272164
74,10,0,0.463336218329679,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.5143252562109
75,10,0,0.926672436659358,0,1,0.926672436659358,0.5371610051433,0.174482082633181,0,0,0,0,0,0,0,0,1,2.5143252562109
76,10,0,0.926672436659358,0,1,1.85334487331872,1.46383344180266,1.10115451929254,0.711594549309222,0.140128970786848,0,0,0,0,0,0,1,2.5143252562109
77,10,0,0.926672436659358,0,1,2.78001730997807,2.39050587846202,2.0278269559519,1.63826698596858,1.06680140744621,0.470024897957537,0,0,0,0,0,1,2.5143252562109
78,10,0,0.926672436659358,0,1,3.70668974663743,3.31717831512137,2.95449939261126,2.56493942262794,1.99347384410556,1.3966973346169,0.630349609587878,0,0,0,0,1,2.5143252562109
79,10,0,0.926672436659358,0,1,4.63336218329679,4.24385075178073,3.88117182927061,3.4916118592873,2.92014628076492,2.32336977127625,1.55702204624724,0.750501699702703,0,0,0,1,2.5143252562109
80,10,0,0.926672436659358,0,1,5.56003461995615,5.17052318844009,4.80784426592997,4.41828429594665,3.84681871742428,3.25004220793561,2.48369448290659,1.67717413636206,0.824466895308783,0,0,1,2.5143252562109
81,10,0,0.926672436659358,0,1,6.48670705661551,6.09719562509945,5.73451670258933,5.34495673260601,4.77349115408364,4.17671464459497,3.41036691956595,2.60384657302142,1.75113933196814,0.507406468778432,0,1,2.5143252562109
82,10,0,0.498665931087418,0,1,7.41337949327487,7.02386806175881,6.66118913924869,6.27162916926537,5.700163590743,5.10338708125433,4.33703935622531,3.53051900968078,2.6778117686275,1.43407890543779,0,1,2.5143252562109
83,10,1,0.0353297127577386,0,1,7.48403891879034,7.09452748727428,6.73184856476417,6.34228859478085,5.77082301625847,5.17404650676981,4.40769878174079,3.60117843519625,2.74847119414298,1.50473833095327,0,1,2.5143252562109
84,11,0,0.463336218329679,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16.7926864410524
85,11,0,0.926672436659358,0,1,0.926672436659358,0.5371610051433,0.174482082633181,0,0,0,0,0,0,0,0,1,16.7926864410524
86,11,0,0.926672436659358,0,1,1.85334487331872,1.46383344180266,1.10115451929254,0.711594549309222,0.140128970786848,0,0,0,0,0,0,1,16.7926864410524
87,11,0,0.864534047430464,0,1,2.78001730997807,2.39050587846202,2.0278269559519,1.63826698596858,1.06680140744621,0.470024897957537,0,0,0,0,0,1,16.7926864410524
88,11,1,0.401197829100785,0,1,3.58241296817964,3.19290153666359,2.83022261415347,2.44066264417015,1.86919706564778,1.27242055615911,0.506072831130089,0,0,0,0,1,16.7926864410524
89,12,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.19125148221222
90,12,0,0.926672436659358,1,1,0.926672436659358,0.5371610051433,0.174482082633181,0,0,0,0,0,0,0,0,1,1.19125148221222
91,12,0,0.926672436659358,1,1,1.85334487331872,1.46383344180266,1.10115451929254,0.711594549309222,0.140128970786848,0,0,0,0,0,0,1,1.19125148221222
92,12,0,0.926672436659358,1,1,2.78001730997807,2.39050587846202,2.0278269559519,1.63826698596858,1.06680140744621,0.470024897957537,0,0,0,0,0,1,1.19125148221222
93,12,0,0.926672436659358,1,1,3.70668974663743,3.31717831512137,2.95449939261126,2.56493942262794,1.99347384410556,1.3966973346169,0.630349609587878,0,0,0,0,1,1.19125148221222
94,12,0,0.510131919392333,1,1,4.63336218329679,4.24385075178073,3.88117182927061,3.4916118592873,2.92014628076492,2.32336977127625,1.55702204624724,0.750501699702703,0,0,0,1,1.19125148221222
95,12,1,0.0467957010626541,1,1,4.7269535854221,4.33744215390604,3.97476323139592,3.58520326141261,3.01373768289023,2.41696117340156,1.65061344837254,0.844093101828011,0,0,0,1,1.19125148221222
96,13,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.01834130940036
97,13,0,0.926672436659358,1,1,0.926672436659358,0.5371610051433,0.174482082633181,0,0,0,0,0,0,0,0,1,1.01834130940036
98,13,0,0.612252815678183,1,1,1.85334487331872,1.46383344180266,1.10115451929254,0.711594549309222,0.140128970786848,0,0,0,0,0,0,1,1.01834130940036
99,13,1,0.148916597348504,1,1,2.15117806801572,1.76166663649967,1.39898771398955,1.00942774400623,0.437962165483856,0,0,0,0,0,0,1,1.01834130940036
100,14,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.08741892693898
101,14,0,0.926672436659358,1,1,0.926672436659358,0.5371610051433,0.174482082633181,0,0,0,0,0,0,0,0,1,1.08741892693898
